Metric,Lite with Leakage,Lite FIXED (No Leakage),Difference
RMSE,0.4651,2.4864202488711578,2.0213202488711577
MAE,0.233,1.7149164125292,1.4819164125292
R2,0.9977,0.9337994168119607,-0.06390058318803937
MAPE,1.0,7.3058257014238865,6.3058257014238865
