,R2,RMSE,MAE,MAPE
LR,0.873935060670664,3.4311585425558655,2.5026915975012742,10.396888412063182
SVR,0.7100192084509667,5.203891604607128,4.040619065877,15.683517028721822
KNN,0.6773307915589065,5.489368528650882,3.8724430089131148,16.656777312272073
RF,0.9264145580064577,2.6214379219572836,1.8523455847334127,8.151616581357167
