,Full Model (139 features),Lite Model (12 features),Difference
RMSE,0.5029306459492776,0.4650604432717417,-0.037870202677535936
MAE,0.26641210027624024,0.23304526988453378,-0.03336683039170646
R2,0.9972914993287076,0.9976840373566879,0.0003925380279802271
MAPE,1.1523437736595745,1.0032888007370044,-0.14905497292257008
