,RMSE,MAE,R2,MAPE,RMSE_rank,MAE_rank,R2_rank,MAPE_rank,avg_rank
Linear Regression,2.121688395148781e-14,1.679612462334516e-14,1.0,7.041254184220407e-14,1.0,1.0,1.0,1.0,1.0
Random Forest,0.5029306459492777,0.26641210027624057,0.9972914993287076,1.1523437730700457,2.0,2.0,2.0,2.0,2.0
SVR,1.3150044886067525,0.9257384071909286,0.9814831453330015,3.402825102876898,3.0,3.0,3.0,3.0,3.0
KNN,4.091182216999915,2.9862507904144002,0.8207701285208974,13.169432261198697,4.0,4.0,4.0,4.0,4.0
